 2016-05-30 13:13:56,056 [P29720/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.3.3 application starting on DAVIDLAPTOP
 2016-05-30 13:13:56,251 [P29720/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-05-30 13:13:56,260 [P29720/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 8ms)
 2016-05-30 13:13:57,090 [P29720/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-05-30 13:13:58,166 [P29720/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 1075ms)
 2016-05-30 13:13:58,533 [P29720/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-05-30 13:13:58,540 [P29720/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 8ms)
 2016-05-30 13:13:58,541 [P29720/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-05-30 13:13:58,549 [P29720/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 8ms)
 2016-05-30 13:13:58,564 [P29720/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-05-30 13:13:58,571 [P29720/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 7ms)
 2016-05-30 13:13:58,571 [P29720/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-05-30 13:13:58,579 [P29720/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 8ms)
 2016-05-30 13:13:58,737 [P29720/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-05-30 13:13:58,745 [P29720/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 7ms)
 2016-05-30 13:13:58,745 [P29720/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-05-30 13:13:58,753 [P29720/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 8ms)
 2016-05-30 13:14:02,146 [P29720/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-05-30 13:14:04,027 [P29720/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-05-30 13:14:04,029 [P29720/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-05-30 13:14:04,655 [P29720/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-05-30 13:14:04,766 [P29720/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-05-30 13:14:05,100 [P29720/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-05-30 13:14:05,240 [P29720/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 9413ms)
